Computer ID,Start Time,End Time,Duration,Cost
1,2024-07-22 17:23:15,2024-07-22 17:23:20,00:00:04,$0.15
3,2024-07-22 17:23:16,2024-07-22 17:23:21,00:00:05,$0.15
4,2024-07-22 17:23:18,2024-07-22 17:23:22,00:00:04,$0.15
8,2024-07-22 17:23:17,2024-07-22 17:23:24,00:00:07,$0.15
9,2024-07-22 17:23:17,2024-07-22 17:23:29,00:00:11,$0.15
4,2024-07-22 17:24:06,2024-07-22 17:25:27,00:01:20,$0.15
5,2024-07-22 17:24:09,2024-07-22 17:25:27,00:01:18,$0.15
1,2024-07-22 17:24:04,2024-07-22 17:25:30,00:01:25,$0.15
6,2024-07-22 17:24:07,2024-07-22 17:25:31,00:01:23,$0.15
8,2024-07-22 17:24:04,2024-07-22 17:25:32,00:01:27,$0.15
9,2024-07-22 17:24:05,2024-07-22 17:25:33,00:01:28,$0.15
Total,,,,$1.65
